FT	ID	RT	WT	ST
122	100	121	0	1
121	99	120	0	1
120	98	119	0	1
119	97	118	0	1
116	96	115	0	1
115	95	114	0	1
114	94	113	0	1
111	93	110	0	1
111	92	109	0	2
109	91	108	0	1
108	90	107	0	1
108	89	106	0	2
106	88	105	0	1
105	87	104	0	1
104	86	103	0	1
103	85	102	0	1
102	84	101	0	1
101	83	100	0	1
101	82	99	0	2
99	81	98	0	1
98	80	97	0	1
98	79	96	0	2
96	78	95	0	1
95	77	94	0	1
94	76	93	0	1
93	75	92	0	1
90	74	89	0	1
89	73	88	0	1
88	72	87	0	1
85	71	84	0	1
85	70	83	0	2
83	69	82	0	1
82	68	81	0	1
82	67	80	0	2
80	66	79	0	1
79	65	78	0	1
78	64	77	0	1
77	63	76	0	1
76	62	75	0	1
75	61	74	0	1
75	60	73	0	2
73	59	72	0	1
72	58	71	0	1
72	57	70	0	2
70	56	69	0	1
69	55	68	0	1
68	54	67	0	1
67	53	66	0	1
64	52	63	0	1
63	51	62	0	1
62	50	61	0	1
59	49	58	0	1
59	48	57	0	2
57	47	56	0	1
56	46	55	0	1
56	45	54	0	2
54	44	53	0	1
54	43	52	0	2
52	42	51	0	1
51	41	50	0	1
50	40	49	0	1
49	39	48	0	1
48	38	47	0	1
47	37	46	0	1
47	35	44	0	3
46	36	45	0	1
44	34	43	0	1
43	33	42	0	1
42	32	41	0	1
41	31	40	0	1
38	30	37	0	1
37	29	36	0	1
36	28	35	0	1
33	27	32	0	1
33	26	31	0	2
31	25	30	0	1
30	24	29	0	1
30	23	28	0	2
28	22	27	0	1
27	21	26	0	1
27	19	24	0	3
26	20	25	0	1
24	18	23	0	1
23	17	22	0	1
22	16	21	0	1
21	15	20	0	1
11	14	10	0	1
10	13	9	0	1
9	12	8	0	1
6	11	5	0	1
6	10	4	0	2
5	9	4	0	1
5	7	3	0	2
4	8	3	0	1
3	6	2	0	1
3	5	2	0	1
2	3	1	0	1
2	2	1	0	1
2	1	1	0	1
2	4	1	0	1
Orders: 100 [Norm:42, Veg:31, VIP:27]
Chiefs: 12 [Norm:5, Veg:3, VIP:4]
Avg Wait = 0.0, Avg Serv = 1.2, Auto-promoted = 0.0%
