FT	ID	RT	WT	ST
64	156	63	0	1
63	176	62	0	1
63	146	61	0	2
62	145	60	0	2
62	141	54	0	8
59	198	58	0	1
59	144	57	0	2
58	142	55	0	3
57	143	56	0	1
55	139	52	0	3
54	140	53	0	1
54	567	51	0	3
49	138	45	0	4
46	137	44	0	2
46	136	43	0	3
45	135	42	0	3
44	133	39	0	5
42	134	41	0	1
40	132	38	0	2
39	131	37	0	2
37	130	36	0	1
36	129	35	0	1
35	128	32	0	3
33	127	32	0	1
30	126	29	0	1
29	125	28	0	1
29	124	27	0	2
27	123	26	0	1
24	180	23	0	1
22	122	21	0	1
21	190	20	0	1
21	121	20	0	1
17	120	15	0	2
12	119	11	0	1
11	118	10	0	1
8	117	7	0	1
7	116	6	0	1
6	115	5	0	1
5	114	4	0	1
4	113	3	0	1
3	112	2	0	1
2	111	1	0	1
Orders: 42 [Norm:22, Veg:7, VIP:13]
Chiefs: 6 [Norm:2, Veg:2, VIP:1]
Avg Wait = 0.0, Avg Serv = 1.8, Auto-promoted = 0.0%
